accident_index,speed_limit,light_conditions,weather_conditions,road_surface_conditions,vehicle_type,junction_location,skidding_and_overturning,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,sex_of_driver,age_of_oldest_driver,accident_severity
2019070587626,30,darkness,other,wet or damp,only cars,not at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,other points of impact,all females,88.0,serious
2019320031139,70,darkness,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,40.0,fatal
2019460852601,30,daylight,fine,dry,at least one van,not at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,no impact,all males,,slight
2019410811857,30,darkness,other,wet or damp,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,other points of impact,all males,53.0,serious
2019136b50416,30,daylight,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,all females,54.0,slight
2019370910411,30,darkness,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,51.0,fatal
2019051911829,30,darkness,fine,dry,only cars,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,data missing or out of range,,fatal
2019100850037,30,daylight,fine,dry,at least one van,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,53.0,slight
2019010163476,20,daylight,fine,dry,only cars,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,,slight
2019140889655,30,daylight,fine,dry,at least one biped,not at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,data missing or out of range,,slight
2019200888704,30,darkness,other,wet or damp,at least one van,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,other points of impact,all males,51.0,fatal
2019470849646,40,daylight,fine,dry,at least one biped,at or within 20 metres of junction,no skidding or overturning,none leaving carriageway,none hit an object,at least one vehicle with frontal impact,male and female,47.0,slight
2019010167714,30,daylight,fine,dry,only cars,at or within 20 metres of junction,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,,slight
2019010183487,20,daylight,fine,dry,biped and van,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,data missing or out of range,all males,35.0,fatal
